numero,serial,numero,texto,texto
2,zQ31-5768-62kA,0,"Officiis beatae deleniti repellat nostrum
Numquam similique labore blanditiis qui iure atque. Odit placeat quos sit.",Perspiciatis molestiae eum cumque. Eum voluptatem suscipit aliquam sunt repellendus eum. Modi sapiente minima culpa vel.
1,uA65-4136-21iX,2,Suscipit iusto doloribus recusandae pariatur quasi ipsa. Ut officia fuga delectus a numquam. Alias error quia nostrum autem delectus ut culpa. Similique magni sequi voluptatum dolor inventore ipsa.,"Perferendis dignissimos explicabo similique ut occaecati. Ut quidem assumenda at impedit omnis esse.
Inventore ullam est fugiat. Quaerat necessitatibus iure enim nulla odit."
0,li64-1569-46tU,0,"Quod eligendi voluptatem. At fugiat consequuntur natus nobis. Suscipit perferendis vel natus.
Aliquam laborum sed recusandae. Porro sit repellat.","Enim sunt provident in quasi blanditiis. Cum ad veniam adipisci. Placeat commodi voluptatem maiores.
Quasi est ullam dignissimos. Aspernatur quos voluptates."
1,HD81-2506-15Cc,2,Corrupti quisquam tempore hic maiores reprehenderit iusto eveniet. Voluptates facere laudantium sunt ad recusandae animi. Et quia esse.,Explicabo cum ut necessitatibus libero. Aperiam ea earum illo nobis. A quia voluptatem error delectus molestiae.
0,xY16-7402-83ht,2,"Asperiores fugiat molestias suscipit. Laudantium nemo id omnis sunt ipsum quia.
Illum numquam vel. Atque fugiat accusamus in dolore voluptatibus nulla.","Eum ea in magnam. Repudiandae illo perferendis distinctio libero accusantium.
Temporibus exercitationem sequi perferendis. Ratione ipsam possimus magnam totam."
2,XA86-1653-13oY,2,Repudiandae maiores eos quas nihil repellat cupiditate qui. Magni id veniam qui alias molestias inventore. Sequi eligendi reiciendis eius necessitatibus dolore voluptatibus.,Rerum cumque a unde. Ex porro numquam facere adipisci cupiditate. In dolore recusandae soluta.
1,EV93-9716-02ZI,1,Velit nam illum error quas similique. Impedit tempora itaque cumque natus corporis nesciunt magnam. Expedita temporibus cumque adipisci.,"Commodi atque perferendis ipsa. Iure et earum laborum.
Cumque nostrum quos atque minima quo quibusdam. Odio doloribus qui quidem."
2,hM79-4514-12OF,1,"Consequatur quaerat quasi expedita numquam ratione culpa harum. In facilis quod eligendi deserunt officia architecto consectetur.
Odit eligendi veritatis excepturi.",Illo non quisquam modi enim cum. Nostrum nisi nam quidem. Ex itaque mollitia quidem ratione neque. Similique impedit minus fuga.
2,Qp97-8045-20ok,0,Quod fuga quae consequuntur ut corporis consequuntur. Voluptatibus voluptate perferendis natus itaque.,"Sapiente asperiores esse totam illum.
Optio reiciendis corporis sed atque. Porro natus explicabo laboriosam."
2,GC78-3962-83LC,2,Aut distinctio nesciunt dolor in. Facilis maxime doloribus provident.,"At dolor qui saepe. Assumenda ullam odio sequi ratione.
Exercitationem quos vel numquam eum. Cupiditate debitis modi praesentium nemo sunt dolorem."
2,zQ12-1942-91Ns,1,Accusamus saepe doloremque distinctio fugiat. Ab nobis tempora asperiores tempore accusantium a ex. Qui illum enim labore excepturi iure. Esse quibusdam sapiente ratione omnis.,Natus molestiae ab libero.
0,Rp67-2202-39nb,2,Pariatur suscipit sunt debitis ratione itaque corrupti. Aliquid nulla sunt eaque libero voluptatum culpa aperiam. Repellendus quis provident corrupti aspernatur.,Et facere similique dolore delectus deleniti cum aliquid. Quas unde enim asperiores vero veniam dolor. Consequuntur magnam quas maxime.
0,RN03-3276-89Ge,2,"Nesciunt beatae velit quo voluptates. Accusantium impedit eligendi esse ullam quidem voluptates cumque.
Et tempore porro. Blanditiis delectus nemo veniam sed eveniet iure at. Autem qui laborum quod.","Explicabo eaque eum reiciendis. Enim totam illo.
Eveniet animi porro nulla neque quidem. Minus veritatis doloremque iure voluptates."
0,RT26-0416-09nv,1,Dolorem eius blanditiis iste cum consequatur porro quam. Vel ad labore laudantium id laborum.,Quae alias perferendis laudantium molestias minus adipisci. Culpa sit suscipit minus excepturi delectus saepe.
1,kM49-6374-88Zt,2,Recusandae quo quasi corporis commodi. Suscipit sit facere autem reiciendis fugiat vero. Optio omnis recusandae eum.,Nam blanditiis in consequuntur incidunt itaque. Cumque et cum eveniet vero quas. Facilis voluptatum quibusdam aliquid mollitia.
2,TZ16-0120-84Pv,1,"Rem quos sed sequi. Consequatur laborum qui quidem non.
Vitae a et at. Sequi debitis ea mollitia error commodi.","Minima rerum ratione esse asperiores. Iste quia ducimus deleniti eaque dolor.
Libero sit optio rem. Tempore sed inventore. Voluptatibus possimus ut pariatur ea."
2,Oy06-9630-86aD,0,Maxime ipsa ducimus nihil. Blanditiis placeat similique eaque porro deleniti laboriosam consequuntur. Incidunt illo facilis recusandae aliquam.,Dolorem ipsa totam tempore temporibus ut blanditiis. Quaerat itaque dolorum perspiciatis a dolorem. Laboriosam molestias unde consequuntur voluptate. Laborum dolorum magni pariatur.
2,ps44-3154-61hH,0,"A sit qui quae sapiente reprehenderit. Voluptate perferendis sapiente assumenda. Culpa magni repudiandae sapiente.
Dignissimos omnis ducimus optio consectetur voluptas nesciunt.","Est provident ad possimus iure. Alias molestias rem quisquam.
Numquam saepe natus sint beatae impedit. Ipsa ex minus suscipit atque."
0,HM53-6816-97hW,1,Amet adipisci voluptatum nam. Rem dolore quasi corporis iure libero odio ipsa.,"Possimus tempore quos eum. Quod fuga voluptatem impedit dignissimos numquam reiciendis quibusdam.
Dicta dolorem vero eum voluptate aspernatur beatae sit. Iusto odio et deleniti tempore."
1,CJ27-2228-99PD,1,"Illo culpa eaque corrupti assumenda. Praesentium ipsa voluptate dolore itaque.
Quisquam error sunt dolorem blanditiis occaecati. Provident amet excepturi recusandae consequuntur molestiae inventore.",Alias pariatur accusamus pariatur quos quos iusto officia. Earum culpa doloribus soluta quis nobis architecto nihil.
1,Dp59-5764-64wq,2,Natus earum occaecati suscipit tenetur repudiandae. Consequatur earum dolorum totam eos rerum repellat. Aspernatur consequuntur non blanditiis fuga odio dignissimos at.,"Soluta vitae vero non sapiente autem molestiae dignissimos. Pariatur veritatis ex cumque.
Accusamus cum temporibus debitis atque. Repellendus dolorem impedit."
2,ig70-1912-04jq,1,Earum aut ipsum est quia facilis eveniet. Veniam placeat in eveniet. Accusamus corrupti porro nemo vel distinctio.,Amet ut ab repellendus asperiores. Suscipit nisi quae officia ipsa facere. Neque totam itaque quaerat.
1,vZ68-0731-36Mj,2,Laborum consectetur pariatur reiciendis molestias pariatur quibusdam. Nam corporis ducimus deleniti ad.,"Corrupti cumque voluptate nulla aspernatur debitis quae.
Neque tenetur similique doloremque eum dolorum facilis. Voluptates reprehenderit sit soluta tenetur doloribus eos."
2,IR97-7842-62hx,0,Praesentium est animi accusamus neque. Minima distinctio delectus ex porro earum ex. Voluptatum esse eaque libero laboriosam pariatur tenetur. Vitae molestias tempore praesentium quos molestiae ex.,"Nostrum esse ab tenetur nulla. Cum optio nobis minima sit illo.
Architecto quidem officia illum. Laudantium illo facilis. Sed debitis sed consequatur laudantium iusto tenetur."
0,wr35-3993-17VB,0,Nostrum sint natus soluta non laboriosam. Blanditiis distinctio in enim qui aspernatur sint aperiam. Cum dicta quam dignissimos esse qui voluptatum quibusdam.,"Quis rerum accusantium fugit commodi accusamus dicta illo. Temporibus cum nisi necessitatibus accusantium.
Voluptatibus aperiam provident. Mollitia rem saepe delectus."
